age_bin,gender,esl,almost_always,almost_certainly,always,certainly,frequently,likely,maybe,might_happen,more_often_than_not,never,not_often,often,possibly,probably,rarely,real_possibility,serious_possibility,slam_dunk,unlikely,usually,with_high_probability,with_low_probability,with_moderate_probability
25-30,M,E,90.0,98.0,100.0,100.0,70.0,85.0,30.0,15.0,60.0,0.0,5.0,60.0,25.0,70.0,10.0,20.0,40.0,95.0,30.0,80.0,85.0,15.0,30.0
25-30,M,E,95.0,95.0,100.0,100.0,20.0,80.0,35.0,2.0,60.0,0.0,15.0,30.0,2.0,60.0,5.0,10.0,10.0,100.0,10.0,70.0,80.0,10.0,25.0
25-30,M,E,95.0,99.0,100.0,100.0,70.0,70.0,50.0,50.0,70.0,0.0,10.0,70.0,50.0,70.0,5.0,60.0,60.0,99.0,20.0,80.0,90.0,10.0,65.0
25-30,M,E,90.0,97.0,95.0,99.0,60.0,70.0,50.0,30.0,55.0,1.0,10.0,60.0,20.0,70.0,5.0,60.0,75.0,98.0,30.0,71.0,80.0,6.0,50.0
25-30,M,E,90.0,85.0,100.0,99.0,80.0,51.0,50.0,40.0,65.0,0.0,33.0,75.0,50.0,75.0,5.0,85.0,80.0,95.0,30.0,60.0,85.0,25.0,65.0
25-30,M,E,10.0,40.0,50.0,99.0,95.0,50.0,30.0,10.0,45.0,5.0,75.0,60.0,50.0,80.0,20.0,40.0,80.0,75.0,0.0,80.0,60.0,15.0,0.0
25-30,M,E,99.0,95.0,100.0,100.0,80.0,80.0,50.0,35.0,75.0,0.0,10.0,75.0,50.0,90.0,20.0,60.0,50.0,99.0,10.0,80.0,85.0,20.0,40.0
25-30,M,E,90.0,90.0,95.0,95.0,80.0,75.0,42.0,40.0,60.0,5.0,32.0,70.0,55.0,55.0,20.0,60.0,40.0,90.0,35.0,70.0,80.0,10.0,40.0
25-30,M,E,95.0,95.0,100.0,100.0,85.0,80.0,50.0,50.0,60.0,0.0,20.0,85.0,50.0,80.0,5.0,65.0,90.0,100.0,25.0,80.0,90.0,10.0,75.0
25-30,M,E,95.0,95.0,100.0,100.0,65.0,60.0,50.0,20.0,75.0,0.0,25.0,65.0,65.0,65.0,10.0,75.0,65.0,90.0,25.0,65.0,80.0,20.0,65.0
25-30,M,E,90.0,99.0,99.0,99.0,70.0,85.0,20.0,30.0,51.0,1.0,10.0,60.0,10.0,60.0,20.0,10.0,40.0,97.0,40.0,70.0,90.0,30.0,70.0
25-30,M,E,90.0,90.0,100.0,100.0,70.0,70.0,50.0,40.0,60.0,0.0,30.0,60.0,40.0,70.0,10.0,60.0,60.0,99.0,30.0,70.0,80.0,20.0,50.0
25-30,M,E,80.0,99.0,100.0,80.0,50.0,75.0,20.0,10.0,51.0,0.0,33.0,60.0,10.0,75.0,5.0,40.0,80.0,95.0,25.0,75.0,90.0,25.0,40.0
25-30,M,E,97.0,97.0,95.0,99.0,45.0,75.0,50.0,40.0,60.0,1.0,10.0,60.0,33.0,75.0,5.0,60.0,70.0,95.0,25.0,80.0,75.0,25.0,60.0
25-30,M,E,95.0,90.0,100.0,95.0,70.0,90.0,10.0,20.0,75.0,0.0,15.0,85.0,25.0,80.0,5.0,40.0,95.0,100.0,10.0,60.0,90.0,5.0,20.0
25-30,M,E,90.0,90.0,100.0,100.0,75.0,60.0,50.0,20.0,60.0,0.0,40.0,60.0,60.0,80.0,10.0,70.0,70.0,100.0,40.0,80.0,80.0,30.0,65.0
25-30,M,E,95.0,95.0,95.0,95.0,65.0,85.0,45.0,45.0,75.0,1.0,5.0,75.0,50.0,85.0,8.0,65.0,70.0,98.0,15.0,75.0,94.0,5.0,60.0
25-30,M,E,80.0,80.0,90.0,90.0,75.0,70.0,50.0,50.0,75.0,10.0,30.0,65.0,50.0,60.0,10.0,10.0,60.0,90.0,20.0,75.0,90.0,10.0,60.0
25-30,M,E,80.0,90.0,99.0,90.0,50.0,60.0,30.0,30.0,60.0,1.0,20.0,60.0,40.0,60.0,5.0,30.0,55.0,95.0,20.0,75.0,80.0,10.0,50.0
25-30,M,E,80.0,85.0,100.0,90.0,70.0,70.0,50.0,50.0,60.0,0.0,30.0,70.0,50.0,70.0,35.0,50.0,60.0,100.0,30.0,70.0,80.0,20.0,65.0
25-30,M,E,90.0,95.0,99.0,99.0,60.0,60.0,50.0,50.0,60.0,1.0,25.0,65.0,50.0,60.0,30.0,55.0,70.0,80.0,30.0,60.0,80.0,20.0,50.0
25-30,M,E,90.0,90.0,80.0,95.0,80.0,70.0,40.0,5.0,30.0,5.0,20.0,70.0,25.0,75.0,12.0,50.0,50.0,90.0,15.0,65.0,90.0,10.0,40.0
25-30,M,E,90.0,99.0,99.0,95.0,80.0,70.0,50.0,35.0,65.0,1.0,15.0,65.0,40.0,70.0,7.0,20.0,35.0,99.0,5.0,75.0,90.0,10.0,30.0
25-30,M,E,95.0,80.0,90.0,90.0,75.0,75.0,50.0,35.0,60.0,1.0,10.0,75.0,40.0,80.0,5.0,25.0,80.0,99.0,15.0,80.0,70.0,15.0,30.0
25-30,M,E,90.0,90.0,100.0,100.0,75.0,65.0,30.0,30.0,51.0,0.0,10.0,65.0,20.0,60.0,5.0,30.0,40.0,80.0,20.0,70.0,95.0,20.0,60.0
25-30,M,E,90.0,90.0,100.0,75.0,75.0,70.0,50.0,50.0,60.0,0.0,20.0,75.0,50.0,75.0,10.0,50.0,50.0,100.0,20.0,70.0,75.0,20.0,50.0
25-30,M,E,95.0,99.0,100.0,100.0,75.0,51.0,50.0,20.0,55.0,0.0,10.0,75.0,25.0,51.0,1.0,5.0,15.0,100.0,10.0,60.0,80.0,5.0,40.0
25-30,M,E,90.0,99.0,100.0,100.0,75.0,75.0,50.0,10.0,60.0,0.0,20.0,80.0,10.0,70.0,10.0,20.0,70.0,98.0,30.0,75.0,90.0,5.0,40.0
25-30,M,E,75.0,80.0,95.0,85.0,45.0,60.0,20.0,20.0,55.0,5.0,25.0,35.0,10.0,40.0,15.0,5.0,20.0,10.0,10.0,75.0,60.0,10.0,30.0
25-30,M,S,80.0,90.0,90.0,90.0,60.0,70.0,50.0,60.0,65.0,10.0,30.0,65.0,60.0,70.0,20.0,60.0,80.0,90.0,30.0,65.0,60.0,20.0,50.0
25-30,M,S,8.0,10.0,,,80.0,,,,2.0,,,,,,,,,,1.0,,,,
25-30,M,S,90.0,99.0,100.0,100.0,90.0,75.0,50.0,50.0,1.0,0.0,10.0,75.0,50.0,50.0,10.0,100.0,90.0,100.0,25.0,90.0,90.0,5.0,50.0
25-30,M,S,70.0,70.0,88.0,86.0,50.0,60.0,50.0,50.0,51.0,1.0,45.0,75.0,65.0,80.0,15.0,90.0,68.0,98.0,22.0,64.0,95.0,20.0,55.0
25-30,M,S,95.0,90.0,90.0,80.0,30.0,50.0,30.0,10.0,55.0,1.0,20.0,50.0,10.0,60.0,20.0,15.0,70.0,70.0,20.0,60.0,70.0,5.0,25.0
25-30,M,S,90.0,20.0,42.0,10.0,47.0,50.0,35.0,23.0,12.0,2.0,53.0,54.0,15.0,8.0,30.0,89.0,9.0,10.0,12.0,78.0,67.0,3.0,57.0
25-30,M,S,95.0,95.0,100.0,90.0,60.0,50.0,15.0,25.0,60.0,0.0,45.0,80.0,60.0,55.0,10.0,85.0,85.0,,30.0,70.0,65.0,10.0,55.0
25-30,M,S,95.0,99.0,100.0,100.0,55.0,90.0,50.0,20.0,65.0,0.0,15.0,80.0,30.0,80.0,5.0,70.0,75.0,100.0,10.0,80.0,90.0,20.0,60.0
25-30,M,S,90.0,95.0,100.0,90.0,70.0,70.0,50.0,50.0,55.0,0.0,25.0,75.0,60.0,50.0,10.0,60.0,75.0,95.0,30.0,65.0,85.0,15.0,55.0
25-30,M,S,85.0,90.0,99.0,95.0,55.0,70.0,40.0,15.0,60.0,2.0,15.0,70.0,20.0,70.0,15.0,0.0,40.0,99.0,15.0,70.0,90.0,20.0,30.0
25-30,M,S,95.0,95.0,100.0,70.0,70.0,65.0,50.0,55.0,55.0,0.0,25.0,65.0,60.0,65.0,15.0,65.0,75.0,90.0,20.0,80.0,70.0,15.0,55.0
25-30,M,S,93.0,99.0,100.0,97.0,50.0,75.0,39.0,37.0,67.0,0.0,33.0,66.0,23.0,80.0,10.0,50.0,20.0,99.0,25.0,83.0,76.0,3.0,47.0
25-30,M,S,5.0,80.0,5.0,95.0,60.0,5.0,5.0,5.0,5.0,15.0,5.0,65.0,5.0,5.0,5.0,80.0,5.0,5.0,5.0,5.0,85.0,5.0,50.0
25-30,M,S,99.0,99.0,99.0,100.0,60.0,80.0,50.0,30.0,55.0,0.0,10.0,40.0,30.0,60.0,5.0,5.0,90.0,99.0,1.0,80.0,95.0,1.0,10.0
25-30,M,S,95.0,95.0,100.0,100.0,80.0,60.0,30.0,40.0,60.0,0.0,10.0,60.0,40.0,70.0,10.0,18.0,40.0,90.0,5.0,80.0,85.0,10.0,30.0
25-30,M,S,98.0,90.0,100.0,85.0,75.0,70.0,30.0,15.0,60.0,0.0,20.0,70.0,40.0,75.0,5.0,20.0,30.0,,10.0,70.0,90.0,10.0,40.0
25-30,M,S,90.0,95.0,100.0,97.0,70.0,80.0,50.0,50.0,60.0,0.0,30.0,60.0,35.0,80.0,20.0,65.0,60.0,95.0,10.0,80.0,85.0,25.0,65.0
25-30,M,S,89.0,86.0,99.0,80.0,77.0,65.0,25.0,50.0,60.0,1.0,20.0,79.0,70.0,76.0,30.0,60.0,60.0,50.0,15.0,60.0,80.0,15.0,60.0
25-30,M,S,95.0,95.0,100.0,100.0,65.0,60.0,50.0,45.0,55.0,0.0,25.0,70.0,40.0,75.0,35.0,75.0,80.0,100.0,20.0,70.0,85.0,15.0,50.0
25-30,M,S,95.0,90.0,100.0,85.0,70.0,75.0,40.0,15.0,60.0,0.0,15.0,60.0,20.0,55.0,10.0,20.0,25.0,95.0,10.0,65.0,90.0,5.0,55.0
25-30,M,S,80.0,80.0,100.0,90.0,70.0,70.0,50.0,40.0,60.0,0.0,20.0,60.0,60.0,40.0,10.0,80.0,70.0,99.0,20.0,80.0,80.0,20.0,60.0
25-30,M,S,90.0,90.0,100.0,95.0,80.0,80.0,50.0,60.0,75.0,5.0,15.0,80.0,75.0,65.0,20.0,80.0,80.0,100.0,15.0,80.0,80.0,15.0,70.0
25-30,M,S,90.0,95.0,90.0,70.0,60.0,70.0,30.0,30.0,60.0,2.0,20.0,40.0,40.0,60.0,5.0,60.0,60.0,90.0,10.0,60.0,80.0,10.0,60.0
25-30,M,S,90.0,95.0,100.0,100.0,70.0,80.0,50.0,50.0,51.0,2.0,30.0,60.0,10.0,80.0,20.0,20.0,60.0,99.0,10.0,60.0,90.0,25.0,50.0
25-30,M,S,90.0,85.0,100.0,100.0,75.0,75.0,50.0,55.0,60.0,0.0,40.0,50.0,60.0,50.0,30.0,75.0,80.0,40.0,25.0,55.0,70.0,20.0,60.0
25-30,M,S,90.0,70.0,100.0,70.0,80.0,65.0,50.0,60.0,60.0,0.0,30.0,60.0,60.0,60.0,20.0,80.0,85.0,60.0,30.0,65.0,80.0,40.0,50.0
25-30,O,E,90.0,96.0,100.0,99.0,80.0,70.0,50.0,15.0,60.0,0.0,20.0,80.0,40.0,75.0,10.0,70.0,85.0,99.0,30.0,80.0,90.0,5.0,75.0
30-35,F,E,96.0,96.0,96.0,100.0,68.0,68.0,50.0,5.0,68.0,0.0,5.0,68.0,50.0,68.0,5.0,68.0,5.0,96.0,32.0,68.0,95.0,32.0,68.0
30-35,F,E,80.0,95.0,80.0,95.0,70.0,70.0,35.0,40.0,65.0,5.0,25.0,60.0,60.0,70.0,20.0,50.0,75.0,90.0,20.0,75.0,80.0,15.0,50.0
30-35,F,E,90.0,95.0,100.0,100.0,70.0,55.0,40.0,5.0,51.0,0.0,30.0,70.0,60.0,75.0,15.0,20.0,25.0,95.0,45.0,80.0,90.0,10.0,55.0
